,회사명,회계년도,거래소코드_x,매출원가율,매출원가율여부,거래소코드_y,매출원가감소율,산업중간값
362,국순당,13-Dec,43650,0.58,,43650,5.172413793,58.53
363,국순당,14-Dec,43650,0.61,,43650,4.918032787,60.8
364,국순당,15-Dec,43650,0.65,,43650,6.153846154,64.89
365,국순당,16-Dec,43650,0.6,,43650,-8.333333333,65.23
366,국순당,17-Dec,43650,0.62,,43650,3.225806452,68.2
367,국순당,18-Dec,43650,0.63,,43650,1.587301587,66.59
368,국순당,19-Dec,43650,0.72,,43650,12.5,68.22
369,국영지앤엠,11-Dec,6050,1,,6050,,83.085
370,국영지앤엠,12-Dec,6050,1,,6050,,80.49
371,국영지앤엠,13-Dec,6050,1,,6050,,79.905
372,국영지앤엠,14-Dec,6050,1,,6050,,80.78
373,국영지앤엠,15-Dec,6050,1,,6050,,77.97
374,국영지앤엠,16-Dec,6050,1,,6050,,79.26
375,국영지앤엠,17-Dec,6050,1,,6050,,81.73
376,국영지앤엠,18-Dec,6050,1,,6050,,82.22
377,국영지앤엠,19-Dec,6050,1,,6050,,84.125
378,국일신동,14-Dec,60480,1,,60480,,91.175
379,국일신동,15-Dec,60480,1,,60480,,90.055
380,국일신동,16-Dec,60480,1,,60480,,89.125
381,국일신동,17-Dec,60480,1,,60480,,90.23
382,국일신동,18-Dec,60480,1,,60480,,91.965
383,국일신동,19-Dec,60480,1,,60480,,92.405
384,국제약품,12-Dec,2720,0.65,,2720,13.84615385,41.73
385,국제약품,13-Dec,2720,0.6,,2720,-8.333333333,41.84
386,국제약품,14-Dec,2720,0.61,,2720,1.639344262,43.25
387,국제약품,15-Dec,2720,0.55,,2720,-10.90909091,44.93
388,국제약품,16-Dec,2720,0.55,,2720,0,48.21
389,국제약품,17-Dec,2720,0.58,,2720,5.172413793,52.51
390,국제약품,18-Dec,2720,0.55,,2720,-5.454545455,52.32
391,국제약품,19-Dec,2720,0.52,,2720,-5.769230769,54.69
392,그래디언트,11-Dec,35080,0.66,,35080,1.515151515,0.0
393,그래디언트,12-Dec,35080,0.66,,35080,0,0.0
394,그래디언트,13-Dec,35080,0.9,,35080,26.66666667,0.0
395,그래디언트,14-Dec,35080,0.9,,35080,0,0.0
396,그래디언트,15-Dec,35080,0.89,,35080,-1.123595506,0.0
397,그래디언트,16-Dec,35080,0.89,,35080,0,0.0
398,그래디언트,17-Dec,35080,0.89,,35080,0,0.0
399,그래디언트,18-Dec,35080,0.9,,35080,1.111111111,0.0
400,그래디언트,19-Dec,35080,0.89,,35080,-1.123595506,0.0
401,글로본,17-Dec,19660,1,,19660,,0.0
402,글로본,18-Dec,19660,1,,19660,,0.0
403,글로본,19-Dec,19660,1,,19660,,0.0
404,금강공업,11-Dec,14280,0.86,,14280,3.488372093,90.89
405,금강공업,12-Dec,14280,0.85,,14280,-1.176470588,91.46
406,금강공업,13-Dec,14280,0.84,,14280,-1.19047619,91.98
407,금강공업,14-Dec,14280,0.84,,14280,0,91.175
