,회사명,거래소코드,회계년도,산업코드,산업명,2011,2012,2013,2014,2015,2016,2017,2018,2019
448,(주)나이벡,138610,Dec-11,32103,  의료용 물질 및 의약품 제조업,,,,,,,,,
457,(주)나이스디앤비,130580,Dec-11,147509,  사업지원 서비스업,,,,,,,,,
466,(주)나이스홀딩스,34310,Dec-11,147509,  사업지원 서비스업,,,,,,,,,
475,(주)나인테크,267320,Dec-17,117201,  기타금융업,,,,,,,,,
478,(주)남선알미늄,8350,Dec-11,32402,  1차 금속 제조업,,,,,,,,,
487,(주)남성,4270,Dec-11,74607,  도매 및 상품 중개업,,,,,,,,,
496,(주)내츄럴엔도텍,168330,Dec-13,137001,  연구개발업,,,,,,,,,
503,(주)네오리진,94860,Dec-11,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,,,,,,,
512,(주)네오셈,253590,Dec-18,117201,  기타금융업,,,,,,,,,
514,(주)네오오토,212560,Dec-15,33003,  자동차 및 트레일러 제조업,,,,,,,,,
519,(주)네오위즈,95660,Dec-11,105802,  출판업,,,,,,,,,
528,(주)네오위즈홀딩스,42420,Dec-11,137105,  전문 서비스업,,,,,,,,,
537,(주)네오크레마,311390,Dec-19,31007,  식료품 제조업,,,,,,,,,
538,(주)네오티스,85910,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
547,(주)네오팜,92730,Dec-11,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
556,(주)네오펙트,290660,Dec-18,32701,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
558,(주)네온테크,306620,Dec-18,117201,  기타금융업,,,,,,,,,
560,(주)네이블커뮤니케이션즈,153460,Dec-12,105802,  출판업,,,,,,,,,
568,(주)네이처셀,7390,Dec-11,31102,  음료 제조업,,,,,,,,,
577,(주)네패스,33640,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
586,(주)넥센,5720,Dec-11,32201,  고무 및 플라스틱제품 제조업,,,,,,,,,
595,(주)넥스턴바이오사이언스,89140,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
604,(주)넥스트아이,137940,Dec-11,32702,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
613,(주)넥스트엔터테인먼트월드,160550,Dec-14,105901,  영상ㆍ오디오 기록물 제작 및 배급업,,,,,,,,,
619,(주)넥슨게임즈,225570,Dec-15,117201,  기타금융업,,,,,,,,,
624,(주)넵튠,217270,Dec-15,117201,  기타금융업,,,,,,,,,
629,(주)노랑풍선,104620,Dec-19,147502,  사업지원 서비스업,,,,,,,,,
