,회사명,거래소코드,회계년도,R & D 투자효율,통계청 한국표준산업분류 10차(소분류)
320,(주)네오펙트,290660,18-Dec,20.1,  의료용 기기 제조업
321,(주)네오펙트,290660,19-Dec,23.67,  의료용 기기 제조업
322,(주)네이블커뮤니케이션즈,153460,12-Dec,10.02,  소프트웨어 개발 및 공급업
323,(주)네이블커뮤니케이션즈,153460,13-Dec,22.04,  소프트웨어 개발 및 공급업
324,(주)네이블커뮤니케이션즈,153460,14-Dec,15.9,  소프트웨어 개발 및 공급업
325,(주)네이블커뮤니케이션즈,153460,15-Dec,20.11,  소프트웨어 개발 및 공급업
326,(주)네이블커뮤니케이션즈,153460,16-Dec,24.43,  소프트웨어 개발 및 공급업
327,(주)네이블커뮤니케이션즈,153460,17-Dec,36.92,  소프트웨어 개발 및 공급업
328,(주)네이블커뮤니케이션즈,153460,18-Dec,14.83,  소프트웨어 개발 및 공급업
329,(주)네이블커뮤니케이션즈,153460,19-Dec,13.47,  소프트웨어 개발 및 공급업
330,(주)네이처셀,7390,11-Dec,0,  기초 의약물질 및 생물학적 제제 제조업
331,(주)네이처셀,7390,12-Dec,0,  기초 의약물질 및 생물학적 제제 제조업
332,(주)네이처셀,7390,13-Dec,0,  기초 의약물질 및 생물학적 제제 제조업
333,(주)네이처셀,7390,14-Dec,0,  기초 의약물질 및 생물학적 제제 제조업
334,(주)네이처셀,7390,15-Dec,0.16,  기초 의약물질 및 생물학적 제제 제조업
335,(주)네이처셀,7390,16-Dec,0.12,  기초 의약물질 및 생물학적 제제 제조업
336,(주)네이처셀,7390,17-Dec,7.22,  기초 의약물질 및 생물학적 제제 제조업
337,(주)네이처셀,7390,18-Dec,5.71,  기초 의약물질 및 생물학적 제제 제조업
338,(주)네이처셀,7390,19-Dec,7.96,  기초 의약물질 및 생물학적 제제 제조업
339,(주)네패스,33640,11-Dec,1.2,  반도체 제조업
340,(주)네패스,33640,12-Dec,1.63,  반도체 제조업
341,(주)네패스,33640,13-Dec,2.37,  반도체 제조업
342,(주)네패스,33640,14-Dec,3.07,  반도체 제조업
343,(주)네패스,33640,15-Dec,2.73,  반도체 제조업
344,(주)네패스,33640,16-Dec,3.17,  반도체 제조업
345,(주)네패스,33640,17-Dec,3.44,  반도체 제조업
346,(주)네패스,33640,18-Dec,4.49,  반도체 제조업
347,(주)네패스,33640,19-Dec,4.02,  반도체 제조업
348,(주)넥스턴바이오사이언스,89140,11-Dec,1.25,  특수 목적용 기계 제조업
349,(주)넥스턴바이오사이언스,89140,12-Dec,1.66,  특수 목적용 기계 제조업
350,(주)넥스턴바이오사이언스,89140,13-Dec,1.53,  특수 목적용 기계 제조업
351,(주)넥스턴바이오사이언스,89140,14-Dec,1.43,  특수 목적용 기계 제조업
352,(주)넥스턴바이오사이언스,89140,15-Dec,2,  특수 목적용 기계 제조업
353,(주)넥스턴바이오사이언스,89140,16-Dec,0.46,  특수 목적용 기계 제조업
354,(주)넥스턴바이오사이언스,89140,17-Dec,1.69,  특수 목적용 기계 제조업
355,(주)넥스턴바이오사이언스,89140,18-Dec,4.86,  특수 목적용 기계 제조업
356,(주)넥스턴바이오사이언스,89140,19-Dec,5.02,  특수 목적용 기계 제조업
357,(주)넥스트아이,137940,11-Dec,4.79,"  측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
